name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
37;0.02;True;0.01;True;ERR;ERR;0.14;True;0.054134977;1.09;True;0.2288748399999999;0.07;True;0.04;False;0.04;True;ERR;ERR;ERR
38;0.0;True;0.01;True;ERR;ERR;0.17;True;0.061830418;1.29;True;0.12643192399999992;0.05;True;0.04;False;0.04;True;ERR;ERR;ERR
39;0.01;True;0.01;False;0.01;False;0.16;False;0.11677639100000001;0.23;False;0.14941930800000003;0.06;False;0.05;False;0.04;False;ERR;ERR;ERR
40;0.01;True;0.01;True;ERR;ERR;0.14;True;0.046599817;1.47;True;0.2721381479999999;0.07;True;0.04;False;0.03;True;ERR;ERR;ERR
41;0.01;True;0.01;False;0.0;False;0.26;False;0.0002497640000000134;1.06;False;0.00031467299999998755;0.07;False;0.04;False;0.05;False;ERR;ERR;ERR
42;0.02;True;0.01;True;ERR;ERR;0.17;False;0.132758431;0.21;False;0.173394685;0.06;True;0.12;False;0.04;True;0.02;False;0.002400912344455719
43;0.01;True;0.01;True;ERR;ERR;0.15;True;0.05424152600000001;1.2;True;0.16948797100000013;0.06;True;0.04;False;0.04;True;0.01;False;0.010894980281591415
44;0.01;True;0.01;True;ERR;ERR;0.09;True;0.039720951;0.37;True;0.11379161099999999;0.07;True;0.04;False;0.04;True;ERR;ERR;ERR
45;0.01;True;0.01;True;ERR;ERR;0.06;True;0.030223996000000003;0.12;True;0.08213766900000001;0.06;True;0.05;False;0.03;True;ERR;ERR;ERR
46;0.01;True;0.01;False;0.01;False;0.16;False;0.11673347700000002;0.18;False;0.134574516;0.06;False;0.06;False;0.03;False;ERR;ERR;ERR
47;0.0;True;0.01;True;ERR;ERR;0.15;True;0.05351667800000001;1.25;True;0.15667741299999993;0.05;True;0.06;False;0.04;True;ERR;ERR;ERR
48;0.01;True;0.01;False;0.0;False;0.25;False;0.00022518800000001504;1.03;False;0.00027573400000002746;0.05;False;0.04;False;0.03;False;ERR;ERR;ERR
49;0.0;True;0.01;True;ERR;ERR;0.07;True;0.036542610999999996;0.19;True;0.082452481;0.05;True;ERR;ERR;0.04;True;ERR;ERR;ERR
50;0.01;True;0.0;True;ERR;ERR;0.1;True;0.037973568;0.69;True;0.22687315700000005;0.07;True;0.05;False;0.03;True;0.04;True;0.03591847978532314
51;0.01;True;0.01;True;ERR;ERR;0.12;True;0.04012513799999999;0.89;True;0.07869000400000004;0.05;True;0.04;False;0.05;True;ERR;ERR;ERR
52;ERR;ERR;0.0;False;0.01;False;0.03;False;2.1802999999993855e-05;0.03;False;2.2112999999997218e-05;0.06;False;0.04;False;0.03;False;ERR;ERR;ERR
53;0.0;True;0.0;False;0.0;False;0.25;False;0.0002263400000000193;1.01;False;0.0002701749999999281;0.07;False;0.03;False;0.02;False;ERR;ERR;ERR
54;0.01;True;0.0;False;0.02;False;0.3;False;0.252646652;0.36;False;0.292450588;0.06;False;0.06;False;0.04;False;ERR;ERR;ERR
55;0.01;True;0.0;True;ERR;ERR;0.13;True;0.05429390499999999;0.94;True;0.20258096400000003;0.06;True;0.04;False;0.03;True;ERR;ERR;ERR
56;0.0;True;6.86;False;0.01;False;0.44;False;0.166134167;1.97;False;0.1917514789999999;0.21;False;2.62;False;9.95;False;ERR;ERR;ERR
57;0.02;True;0.01;False;0.01;False;0.5;False;0.22230962699999998;1.31;False;0.25634091800000003;0.06;False;0.06;False;0.04;False;ERR;ERR;ERR
58;0.01;True;0.01;False;0.01;False;0.2;False;0.15020860400000002;0.21;False;0.159897637;0.07;False;0.06;False;0.04;False;ERR;ERR;ERR
