name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
269;0.01;False;0.0;False;0.01;False;TO;TO;TO;TO;TO;TO;0.06;False;0.03;False;0.03;False;ERR;ERR;ERR
270;0.01;True;0.0;True;0.01;True;0.12;True;0.0007505369999999956;0.91;True;0.0009789590000000015;0.06;True;ERR;ERR;0.03;True;ERR;ERR;ERR
271;0.01;False;0.0;True;0.01;True;0.45;True;0.138991297;4.87;True;0.30460319800000013;0.07;True;ERR;ERR;0.04;True;ERR;ERR;ERR
272;0.0;False;TO;TO;0.0;False;0.24;False;0.101332541;3.86;False;0.11184355699999982;TO;TO;5.04;False;46.93;False;ERR;ERR;ERR
273;0.0;False;0.01;False;0.01;False;0.26;False;0.15642530400000002;0.9;False;0.179599579;0.05;False;0.06;False;0.05;False;ERR;ERR;ERR
274;ERR;ERR;0.01;False;0.0;False;0.77;False;0.06505796200000002;6.93;False;0.07252369900000044;0.07;False;0.03;False;0.04;False;ERR;ERR;ERR
275;0.03;False;0.0;False;0.01;False;0.17;False;0.133478221;0.24;False;0.21365718;0.07;False;0.06;False;0.04;False;ERR;ERR;ERR
276;0.01;True;0.0;True;0.01;True;0.05;True;0.0003910370000000038;0.14;True;0.0006258899999999901;0.06;True;0.1;False;0.04;True;ERR;ERR;ERR
277;ERR;ERR;0.42;False;0.98;False;0.08;False;0.050357676000000004;0.18;False;0.088811947;0.13;False;0.53;False;1.6;False;ERR;ERR;ERR
278;0.01;False;0.01;True;0.01;True;0.8;True;0.0005047380000000601;8.46;True;0.0014164569999994825;0.06;True;ERR;ERR;0.04;True;ERR;ERR;ERR
279;0.01;False;2.1;False;3.8;False;0.44;False;0.32917948799999996;3.45;False;0.34520919900000013;0.59;False;1.89;False;7.63;False;ERR;ERR;ERR
280;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;TO;TO;TO;0.05;False;0.06;False;0.04;False;ERR;ERR;ERR
281;0.01;False;0.01;False;0.01;False;5.83;False;0.2862744990000001;36.76;False;0.3262902109999999;0.07;False;0.02;False;0.03;False;ERR;ERR;ERR
282;0.01;False;0.01;False;0.01;False;0.14;False;0.0006292040000000221;54.98;False;0.0011793999999980542;0.04;False;ERR;ERR;0.02;False;ERR;ERR;ERR
283;0.0;False;0.01;True;0.01;True;2.63;True;0.1569031719999998;33.89;True;0.1995034750000002;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
284;0.01;False;0.34;False;0.0;False;ERR;ERR;ERR;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
285;0.01;False;0.0;False;0.01;False;0.53;False;0.00017693499999998918;44.06;False;0.0002525190000000066;0.06;False;0.03;False;0.04;False;ERR;ERR;ERR
286;ERR;ERR;0.0;False;0.01;False;0.81;False;0.06464044499999999;6.89;False;0.0724748350000004;0.06;False;0.03;False;0.04;False;ERR;ERR;ERR
287;ERR;ERR;TO;TO;0.01;False;0.07;False;0.0007407620000000059;0.5;False;0.0010377980000000342;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR
288;0.02;True;0.01;True;0.01;True;0.24;True;0.201963578;0.36;True;0.235102499;0.07;True;0.03;True;0.04;True;ERR;ERR;ERR
289;0.01;False;0.01;False;0.0;False;0.03;False;2.4035999999998114e-05;0.03;False;2.411599999999764e-05;0.08;False;0.04;False;0.05;False;ERR;ERR;ERR
290;ERR;ERR;TO;TO;ERR;ERR;0.35;False;0.00227675799999999;18.1;False;0.002648596000000225;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR
291;0.01;False;0.01;False;0.01;False;0.19;False;0.12469167200000002;0.39;False;0.13826450600000004;0.07;False;0.07;False;0.05;False;ERR;ERR;ERR
292;0.02;False;0.01;False;0.01;False;0.29;False;0.157214281;1.38;False;0.18286469900000002;0.07;False;0.05;False;0.05;False;ERR;ERR;ERR
293;0.0;False;0.01;True;0.01;True;0.68;True;0.136716942;7.52;True;0.17921814700000027;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
294;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;TO;TO;TO;0.07;True;TO;TO;0.04;True;ERR;ERR;ERR
295;0.01;False;0.01;False;0.02;False;0.04;False;5.4562000000001054e-05;0.22;False;9.77669999999986e-05;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
296;0.01;False;1.27;False;2.08;False;0.6;False;0.156616692;5.84;False;0.1744107210000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
297;0.01;False;0.01;False;0.01;False;0.11;False;0.073068677;0.12;False;0.07718022699999999;0.06;False;0.04;False;0.04;False;ERR;ERR;ERR
298;ERR;ERR;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;0.07;False;0.03;False;0.02;False;ERR;ERR;ERR
299;0.01;False;0.0;False;0.0;False;0.56;False;0.11290995800000003;6.9;False;0.12467041000000023;0.05;False;ERR;ERR;0.04;False;ERR;ERR;ERR
300;0.0;False;0.38;False;0.58;False;2.37;False;0.10100350600000008;17.85;False;0.12083530399999987;0.16;False;ERR;ERR;1.31;False;ERR;ERR;ERR
301;ERR;ERR;0.0;False;0.01;False;0.09;False;7.650400000000501e-05;13.62;False;0.00013417200000098717;0.06;False;0.03;False;0.03;False;ERR;ERR;ERR
302;ERR;ERR;0.0;True;0.01;True;0.34;True;0.23466373999999998;2.91;True;0.46731986700000006;0.05;True;0.06;True;0.04;True;ERR;ERR;ERR
303;ERR;ERR;0.0;True;0.01;True;0.21;True;0.08359351299999998;1.39;True;0.11153203999999994;0.07;True;ERR;ERR;0.03;True;ERR;ERR;ERR
304;ERR;ERR;0.0;False;0.0;False;4.33;False;0.18233672800000011;TO;TO;TO;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
305;0.01;False;0.01;True;0.0;True;0.23;True;0.11796486500000002;1.02;True;0.14890053000000003;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
306;0.01;False;0.02;False;0.01;False;1.03;False;0.11990064100000009;31.16;False;0.13838067900000084;0.07;False;ERR;ERR;0.13;False;ERR;ERR;ERR
307;0.02;False;5.03;False;0.01;False;0.3;False;0.109359068;11.74;False;0.13809979700000063;1.17;False;0.17;False;16.34;False;ERR;ERR;ERR
308;0.0;False;0.01;False;0.01;False;0.2;False;0.06919316900000001;1.03;False;0.07509294499999997;0.07;False;0.04;False;0.05;False;ERR;ERR;ERR
309;0.01;False;0.0;False;0.0;False;0.95;False;0.19236216500000003;22.29;False;0.2279731869999999;0.06;False;0.05;False;0.04;False;ERR;ERR;ERR
310;0.01;False;0.01;True;0.01;True;0.48;True;0.15768898999999997;4.35;True;0.2234339649999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
311;0.02;True;0.01;True;0.01;True;0.16;True;0.11092396700000001;0.38;True;0.13942219300000003;0.06;True;0.05;False;0.04;True;ERR;ERR;ERR
312;0.02;False;0.0;False;0.0;False;0.37;False;0.179384176;2.27;False;0.1974791370000002;0.06;False;0.05;False;0.04;False;ERR;ERR;ERR
313;0.01;False;13.47;False;8.8;False;0.94;False;0.30202344700000006;TO;TO;TO;19.91;False;31.81;False;1.69;False;ERR;ERR;ERR
314;3.26;False;3.75;False;12.19;False;0.21;False;0.183020184;0.23;False;0.19723628;2.12;False;3.77;False;16.79;False;ERR;ERR;ERR
315;0.01;False;0.01;False;0.0;False;0.03;False;2.1401999999996757e-05;0.04;False;2.446700000000024e-05;0.06;False;0.04;False;0.04;False;ERR;ERR;ERR
316;0.01;True;TO;TO;ERR;ERR;0.3;True;0.18011935900000003;0.52;True;0.19933969999999995;TO;TO;ERR;ERR;TO;TO;ERR;ERR;ERR
317;0.02;True;0.01;True;0.01;True;0.04;True;0.0004332400000000014;0.15;True;0.0006867010000000118;0.07;True;0.1;False;0.04;True;ERR;ERR;ERR
318;TO;TO;0.0;True;0.01;True;0.33;True;0.160371698;2.15;True;0.18668230099999983;0.07;True;0.04;True;0.05;True;ERR;ERR;ERR
319;0.64;True;0.0;True;0.01;True;0.21;True;0.135521548;0.55;True;0.14625598100000003;0.07;True;0.05;False;0.04;True;ERR;ERR;ERR
320;0.01;False;0.01;False;0.01;False;0.06;False;3.848700000000371e-05;0.19;False;5.937000000000303e-05;0.07;False;0.03;False;0.04;False;ERR;ERR;ERR
321;0.01;True;0.0;True;0.01;True;0.04;True;0.0004909770000000035;0.28;True;0.0008654899999999688;0.06;True;0.05;False;0.03;True;ERR;ERR;ERR
322;0.01;False;0.44;False;0.74;False;0.23;False;0.166529851;3.82;False;0.25007055599999983;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
